20:48:33: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №18 Москва Петрозаводск 27 ноября 2018 г.. Вагоны: 0 87 88 89 15 13 12 11 10 9 8 41 7 6 5 4 1. Нумерация: С хвоста
20:48:33: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №24 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 11 10 8 7 6 5 4 3 2 1. Нумерация: С хвоста
21:14:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №10 Москва Псков 27 ноября 2018 г.. Вагоны: 0 87 88 3 4 5 6 7 8 9 41 10 13 14 15 16. Нумерация: С головы
21:14:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №780 Москва С.Петербург 27 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
21:14:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №18 Москва Петрозаводск 27 ноября 2018 г.. Вагоны: 0 87 88 89 15 13 12 11 10 9 8 41 7 6 5 4 1. Нумерация: С хвоста
21:14:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №24 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 11 10 8 7 6 5 4 3 2 1. Нумерация: С хвоста
21:14:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №26 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 11 9 41 8 7 6 5 4 3 2 1. Нумерация: С хвоста
21:14:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №42 Москва В.Новгород 27 ноября 2018 г.. Вагоны: 0 2 3 41 4 5 6 7 8 9. Нумерация: С головы
21:15:27: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №10 Москва Псков 27 ноября 2018 г.. Вагоны: 0 87 88 3 4 5 6 7 8 9 41 10 13 14 15 16. Нумерация: С головы
21:15:27: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №780 Москва С.Петербург 27 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
